Rk,Player,Age,Tm,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,bbref_id,Player_clean,salary_2025_26,salary_imputed
236,Deandre Ayton,26,POR,C,40,40,1206,17.7,0.583,0.068,0.128,10.9,26.0,18.2,8.5,1.2,2.9,12.2,19.4,1.2,1.6,2.8,0.113,-0.3,-0.4,-0.7,0.4,,aytonde01,deandre ayton,35550814.0,False
141,De'Andre Hunter,27,2TM,SF,64,9,1740,15.9,0.623,0.509,0.333,2.7,13.4,8.1,7.5,1.4,0.7,8.6,22.8,3.0,1.4,4.4,0.122,1.2,-0.8,0.4,1.0,6MOY-4,huntede01,deandre hunter,23303571.0,False
327,DeAndre Jordan,36,DEN,C,56,5,691,15.4,0.621,0.0,0.457,14.0,30.3,22.6,9.5,1.1,3.5,19.2,12.8,0.9,0.9,1.8,0.127,-1.4,0.2,-1.2,0.2,,jordade01,deandre jordan,1200000.0,True
484,De'Anthony Melton,26,GSW,SG,6,2,121,13.3,0.539,0.648,0.148,5.2,12.8,8.9,21.1,2.8,1.6,14.8,23.5,0.0,0.2,0.2,0.076,-1.6,0.8,-0.8,0.0,,meltode01,deanthony melton,600000.0,True
268,Dejounte Murray,28,NOP,PG,31,31,1012,15.4,0.494,0.352,0.251,1.8,20.1,10.7,34.6,3.0,1.1,16.2,27.3,-0.7,0.9,0.2,0.009,-1.3,-0.3,-1.6,0.1,,murrade01,dejounte murray,31557103.0,False
340,Delon Wright,32,2TM,PG,40,7,635,9.2,0.44,0.557,0.191,4.9,6.5,5.7,15.0,2.7,1.8,13.4,11.3,0.0,0.7,0.7,0.053,-2.8,1.4,-1.4,0.1,,wrighde01,delon wright,1200000.0,True
6,DeMar DeRozan,35,SAC,SF,77,77,2768,17.7,0.569,0.196,0.337,2.0,10.1,6.0,18.7,1.1,1.1,6.5,25.0,5.7,1.4,7.1,0.123,1.2,-1.2,-0.1,1.3,,derozde01,demar derozan,24570000.0,False
66,Deni Avdija,24,POR,SF,72,54,2161,17.7,0.605,0.405,0.441,5.4,21.2,13.1,19.9,1.6,1.5,16.3,23.2,3.1,2.5,5.6,0.124,1.5,0.6,2.1,2.2,,avdijde01,deni avdija,14375000.0,False
76,Dennis Schröder,31,3TM,PG,75,49,2105,12.7,0.531,0.449,0.261,1.4,9.2,5.2,28.7,1.5,0.6,13.3,21.6,1.5,1.7,3.2,0.073,-1.3,-0.9,-2.2,-0.1,,schrode01,dennis schroder,1200000.0,True
299,Dereck Lively II,20,DAL,C,36,29,833,20.1,0.704,0.0,0.382,13.9,21.3,17.7,14.3,1.2,5.7,15.5,13.6,2.4,1.0,3.4,0.199,1.1,2.2,3.3,1.1,,livelde01,dereck lively ii,5253360.0,False
112,Derrick Jones Jr.,27,LAC,SF,77,55,1873,13.5,0.609,0.372,0.2,5.7,10.1,8.0,4.6,2.1,1.7,9.3,16.5,2.1,2.6,4.7,0.12,-1.0,0.7,-0.3,0.8,,jonesde02,derrick jones jr,10000000.0,False
20,Derrick White,30,BOS,SG,76,76,2574,16.6,0.606,0.721,0.168,2.8,11.5,7.2,20.2,1.4,2.9,11.3,19.8,5.1,3.4,8.5,0.158,2.7,0.8,3.5,3.6,DPOY-10,whitede01,derrick white,28100000.0,False
59,Desmond Bane,26,MEM,SG,69,68,2205,17.9,0.6,0.411,0.194,3.0,16.9,10.0,23.6,1.7,1.2,13.3,23.3,4.0,2.6,6.5,0.142,2.6,0.6,3.2,2.9,,banede01,desmond bane,36725670.0,False
4,Devin Booker,28,PHO,SG,75,75,2795,19.3,0.589,0.388,0.34,3.1,8.9,6.1,30.6,1.2,0.5,11.9,29.3,6.1,0.3,6.4,0.111,2.8,-2.4,0.4,1.7,,bookede01,devin booker,53142264.0,False
403,Devin Carter,22,SAC,PG,36,0,396,10.8,0.471,0.48,0.346,5.4,16.2,10.8,13.5,2.6,1.0,11.0,17.9,-0.1,0.4,0.4,0.043,-3.5,0.3,-3.2,-0.1,,cartede02,devin carter,4923720.0,False
93,Devin Vassell,24,SAS,SG,64,53,1983,14.2,0.553,0.483,0.135,1.8,12.0,6.9,13.8,2.0,1.5,8.5,22.1,0.9,1.3,2.2,0.054,-0.3,-0.8,-1.1,0.4,,vassede01,devin vassell,27000000.0,False
36,Dillon Brooks,29,HOU,SF,75,75,2388,11.0,0.555,0.524,0.135,3.3,9.1,6.1,7.4,1.2,0.6,7.4,17.7,2.7,2.5,5.1,0.103,-1.4,0.0,-1.4,0.4,,brookdi01,dillon brooks,21124110.0,False
362,Dillon Jones,23,OKC,SF,54,3,551,8.1,0.464,0.474,0.211,6.0,17.3,11.8,12.6,1.4,0.7,16.2,13.3,-0.1,0.9,0.8,0.067,-4.3,0.3,-4.0,-0.3,,jonesdi01,dillon jones,2753280.0,False
535,D.J. Carton,24,TOR,SG,4,0,33,-2.6,0.202,0.429,0.143,0.0,13.3,6.5,10.9,2.9,0.0,35.0,14.5,-0.2,0.0,-0.1,-0.199,-10.4,-0.7,-11.1,-0.1,,cartodj01,dj carton,600000.0,True
33,Domantas Sabonis,28,SAC,C,70,70,2429,22.9,0.655,0.175,0.324,12.3,32.6,22.4,26.0,1.0,1.0,16.5,21.6,7.4,2.7,10.1,0.199,4.2,1.1,5.2,4.4,,sabondo01,domantas sabonis,43636000.0,False
412,Dominick Barlow,21,ATL,SF,35,4,375,14.6,0.58,0.239,0.292,10.0,15.0,12.4,6.9,1.1,3.9,3.8,14.5,0.7,0.3,1.0,0.131,-1.4,-0.8,-2.2,0.0,,barlodo01,dominick barlow,1200000.0,True
211,Donovan Clingan,20,POR,C,67,37,1324,17.4,0.574,0.147,0.311,17.3,26.1,21.6,8.3,1.2,7.5,15.9,14.2,1.8,2.2,4.0,0.144,-1.7,1.4,-0.3,0.6,,clingdo01,donovan clingan,7178400.0,False
54,Donovan Mitchell,28,CLE,SG,71,71,2232,20.9,0.575,0.48,0.274,2.8,12.5,7.8,23.9,2.0,0.7,9.2,30.9,4.8,2.8,7.6,0.163,3.8,-0.2,3.7,3.2,MVP-5CPOY-9ASNBA1,mitchdo01,donovan mitchell,46394100.0,False
158,Donte DiVincenzo,28,MIN,SG,62,10,1606,14.1,0.582,0.739,0.106,2.2,13.3,7.9,20.2,2.2,1.0,13.8,19.4,1.6,2.2,3.9,0.115,0.8,1.1,1.9,1.6,,divindo01,donte divincenzo,11990000.0,False
125,Dorian Finney-Smith,31,2TM,PF,63,40,1818,10.1,0.604,0.722,0.103,5.0,10.4,7.7,6.9,1.6,1.2,11.0,12.3,1.5,1.4,2.9,0.078,-1.1,0.1,-1.0,0.5,,finnedo01,dorian finneysmith,1200000.0,True
417,Doug McDermott,33,SAC,SF,42,3,342,9.5,0.617,0.863,0.043,1.0,6.2,3.6,2.8,0.6,0.6,4.8,15.7,0.4,0.1,0.4,0.061,-0.8,-2.4,-3.2,-0.1,,mcderdo01,doug mcdermott,1200000.0,True
92,Draymond Green,34,GSW,PF,68,66,1983,12.4,0.534,0.483,0.289,3.9,19.0,11.2,26.2,2.4,3.4,23.3,15.9,0.3,3.4,3.7,0.088,-2.3,2.8,0.5,1.3,DPOY-3DEF1,greendr01,draymond green,25892857.0,False
322,Drew Eubanks,27,2TM,C,61,4,746,15.6,0.622,0.031,0.366,8.9,24.1,16.5,10.6,0.8,5.0,15.4,15.1,1.0,0.7,1.7,0.107,-1.2,0.6,-0.7,0.3,,eubandr01,drew eubanks,1200000.0,True
459,Drew Peterson,25,BOS,PF,25,1,186,10.5,0.601,0.805,0.22,5.3,18.1,11.7,9.1,1.3,1.0,15.1,12.5,0.2,0.3,0.4,0.115,-1.8,1.0,-0.8,0.1,,peterdr01,drew peterson,600000.0,True
439,Drew Timme,24,BRK,PF,9,2,254,11.0,0.5,0.343,0.157,7.3,22.5,14.5,13.1,0.8,0.4,12.1,21.3,-0.1,0.2,0.0,0.009,-3.9,-2.8,-6.7,-0.3,,timmedr01,drew timme,1955377.0,False
435,Dru Smith,27,MIA,SG,14,1,268,13.3,0.656,0.492,0.197,5.0,9.8,7.4,12.0,3.9,2.1,20.4,13.8,0.2,0.4,0.7,0.118,-1.3,3.4,2.1,0.3,,smithdr01,dru smith,1200000.0,True
130,Duncan Robinson,30,MIA,SF,74,37,1785,11.8,0.595,0.729,0.08,1.1,9.1,5.2,14.7,1.1,0.3,11.1,19.2,1.3,1.4,2.7,0.071,-0.7,-1.1,-1.7,0.1,,robindu01,duncan robinson,9888000.0,False
382,Duop Reath,28,POR,C,46,0,469,13.7,0.552,0.639,0.133,9.9,11.4,10.6,8.0,1.2,2.7,8.3,17.0,0.6,0.4,1.0,0.105,0.2,-0.5,-0.3,0.2,,reathdu01,duop reath,2221677.0,False
361,Dwight Powell,33,DAL,C,55,3,551,12.9,0.713,0.082,0.705,9.5,13.7,11.7,12.5,1.6,3.3,18.4,7.6,1.2,0.5,1.7,0.147,-1.5,1.5,0.0,0.3,,poweldw01,dwight powell,4000000.0,False
